REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Lima,Yauyos,TANTA,Sitio Arqueologico Tambo Real De Tanta,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12452,-7.598.864.782,-1.205.120.825
Lima,Yauyos,TANTA,Pueblo De Tanta,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12326,-7.601.344.741,-1.212.251.067
Lima,Yauyos,TANTA,Laguna Chuspicocha De Tanta,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12329,-7.599.047.124,-1.213.649.953
Lima,Yauyos,TANTA,Catarata De Pajcha O Del Amor De Tanta,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12330,-7.601.108.987,-1.213.119.601
Lima,Yauyos,TOMAS,Laguna Incacocha De Tomas,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12385,-7.562.958.005,-1.217.004.825
Lima,Cañete,MALA,Lomas De La Aguada - Mala,Lomas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12747,-7.659.704,-1.264.243
Lima,Yauyos,TOMAS,Sitio Arqueologico Ayacoto De Tomas,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12450,-7.574.514.239,-1.223.651.338
Piura,Morropon,SANTA CATALINA DE MOSSA,Catarata El Sitan De Chirimoyos,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12444,-7.986.278.157,-5.099.174.835
Lima,Lima,SANTIAGO DE SURCO,Bodega El Guayabo,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12404,-7.701.074.719,-1.214.538.932
Arequipa,Islay,MEJIA,Empanadas Tradicionales,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12294,,
Pasco,Oxapampa,CHONTABAMBA,Museo Vintage Años Dorados,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12286,-7.541.349.038,-1.060.214.075
Piura,Talara,PARIÑAS,Iglesia Matriz La Inmaculada,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12290,-81.271.917,-458.025.109
Ayacucho,Paucar Del Sara Sara,PAUSA,Bosque De Piedra De Casire,Formaciones rocosas(bosque de piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12636,-73.340.776,-15.318.619
Ayacucho,Paucar Del Sara Sara,PAUSA,Volcán Sara Sara,Volcanes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12633,-73.444.926,-15.321.879
Arequipa,Islay,MEJIA,Laguna Centenario,Humedales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12582,-7.190.241,-1.710.531
Lambayeque,Lambayeque,SALAS,Festividad De La Cruz De Yanahuanca,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12298,,
Ayacucho,La Mar,CHILCAS,Mirador Qesqe,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12491,-7.381.554,-1.317.239
Lima,Huarochiri,SAN MATEO DE OTAO,Catarata De Huatangoy,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12300,-7.653.511.378,-1.184.523.698
Lima,Huarochiri,SAN MATEO DE OTAO,Complejo Arqueológico De Huarichaca,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12449,-76.565.036,-11.838.216
Lima,Lima,SAN BARTOLO,Festividad De San Pedro De San Bartolo,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12399,,
Lima,Huarochiri,SAN MATEO DE OTAO,Iglesia San Mateo De Otao,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12378,-76.562.297,-11.846.971
Ayacucho,La Mar,CHILCAS,Apu Paranccay,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12493,-7.387.708,-1.314.461
Ayacucho,La Mar,CHILCAS,Formaciones Rocosas De Nembrellunniyucc,Formaciones rocosas(bosque de piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12490,-7.385.722,-131.875
Huánuco,Marañon,LA MORADA,Catarata Las Golondrinas,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12395,-7.633.478,-879.377
Ayacucho,La Mar,CHILCAS,Apu Saccsamarca,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12489,-7.388.385,-1.319.546
Huánuco,Marañon,LA MORADA,Laguna Los Chunatawas,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12351,-7.625.028,-878.148
Ayacucho,La Mar,CHILCAS,Sitio Arqueológico De Ñaupallaqta - Distrito De Chilcas,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12488,-7.386.134,-1.321.455
